name,city,kind,item_id,place_id,primary_type,business_status,is_lodging,lodging_types,all_types
Counting Sheep Corner,Sukhumvit,Cafe,674b37a0a04f12f57f48cbc5,ChIJWTOFU66f4jARouEsaZ6ngNI,Restaurant,OPERATIONAL,,,"restaurant, food, point_of_interest, establishment"
Cowork Funchal,Funchal,Coworking Space,664fb8980d7d14d3e11a8b66,ChIJ0U8-UQhgYAwR2SPRJKP_amc,Coworking Space,OPERATIONAL,,,"coworking_space, real_estate_agency, service, event_venue, point_of_interest, establishment"
Coworking Space H24,Thong Sala,Coworking Space,6784e210f5ed5087d887b1f7,ChIJPQGcmiv9VDARoGzrXpvkQOs,Coworking space,OPERATIONAL,,,"coworking_space, internet_cafe, coffee_shop, cafe, food_store, store, food, service, point_of_interest, establishment"
Coworking Space Ponta do Sol,Ponta do Sol,Coworking Space,67d65594a76aa2b2afaadf8d,ChIJTa-2R21XYAwR_Wc9aLkg_Zk,Coworking space,OPERATIONAL,,,"coworking_space, point_of_interest, establishment"
Coworking at Meraki Market Cafe,Chloraka,Coworking Space,67dbb82cd505e94c4326f037,ChIJJ3PhYDYH5xQRkpPPKY3XcIY,Coworking space,OPERATIONAL,,,"coworking_space, internet_cafe, service, point_of_interest, establishment"
Coworking at Sunset Hill Resort,Srithanu,Coworking Space,6784e20fcac506bc5144cfaf,ChIJQedo_ov9VDARR01xNy2Hsys,Coworking space,CLOSED_TEMPORARILY,,,"coworking_space, internet_cafe, restaurant, food, point_of_interest, service, establishment"
Cozi Cafe And Bar,Sukhumvit,Cafe,674b37a08577b80adfa59282,ChIJy5MjCT2f4jARDkeF7gr_dgs,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment"
Craft,Lumphini,Cafe,674b37a41d78a6be7f43d179,ChIJQSpPi9Gf4jARJIoCM1AOlfc,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Cremositos Boavista,Sal Rei,Cafe,676736cf874353655e293f75,ChIJnYUNRCk9SwkRPr762hbU19Q,Ice cream shop,OPERATIONAL,,,"ice_cream_shop, dessert_shop, confectionery, food_store, food, store, point_of_interest, establishment"
Cuppa Espresso Bar,Uluwatu (Ungasan),Cafe,65fa86d0e0379bf78d5247a3,ChIJP2eY1cxE0i0Ri9SZhCIPZKE,Coffee Shop,OPERATIONAL,,,"coffee_shop, brunch_restaurant, breakfast_restaurant, cafe, food_store, restaurant, food, store, point_of_interest, establishment"
Curfew Restaurant and Beer Garden,Kuta,Cafe,66d7e9babab9945648a84f14,ChIJGfAxJU2pzS0RByL3aqYWqLE,Restaurant,OPERATIONAL,,,"restaurant, coffee_shop, beer_garden, cafe, bar, food_store, store, food, point_of_interest, establishment"
Curva Cafe,Graca,Cafe,67dbb82b9d7b9f1af5e4fb09,ChIJf8d1rdczGQ0RJ-oOips9mds,Cafe,OPERATIONAL,,,"cafe, brunch_restaurant, breakfast_restaurant, art_gallery, coffee_shop, bar, food_store, store, restaurant, food, point_of_interest, establishment"
