name,city,kind,item_id,place_id,primary_type,business_status,is_lodging,lodging_types,all_types
Fekete,District 5,Cafe,668b8ee8a2ac86b35a9455f3,,,NOT_FOUND,,,
Fern Forest Cafe,Old City,Cafe,67dbb820e95b63f8187e0a90,ChIJ2xINj5o62jARvGTpW7fWjts,Cafe,OPERATIONAL,,,"cafe, cake_shop, coffee_shop, bakery, manufacturer, food_store, wholesaler, store, food, point_of_interest, service, establishment"
Fika Cafe Telliskivi,Telliskivi,Cafe,66cf5711344f70f9f2b749a2,ChIJxXOn8C-TkkYRAzQbhYfk3U0,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Five30 Cafe,Canggu,Cafe,6725a28e4e06a595785f5a23,ChIJG12Rb_w50i0RVHCUPa5EK84,Cafe,OPERATIONAL,,,"cafe, coffee_shop, food_store, store, restaurant, food, point_of_interest, establishment"
Flat+White Cafe,Thonglor,Cafe,674b37a08f6a3b8d67dbed68,ChIJ8cutYayf4jARnnr1olHN2bE,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Flow Cafe & Eatery,Haad Salad,Cafe,6784e215cc89dd1a71be7d7b,ChIJ-8Mi1WgBVTARt_qUYOwWMAg,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment"
Flow Specialty Coffee Bar & Bistro,District 6,Cafe,67dbb81d0a49e102711f638a,ChIJsWzyeojdQUcR801h7ozTqDY,Vegan restaurant,CLOSED_PERMANENTLY,,,"vegan_restaurant, bistro, vegetarian_restaurant, coffee_shop, cafe, food_store, store, restaurant, food, point_of_interest, establishment"
Foods & Roots,Chaloklum,Cafe,6784e214dbc183768451cd90,ChIJX9a-YlcDVTARkb9qD_f_tLA,Vegan restaurant,OPERATIONAL,,,"vegan_restaurant, vegetarian_restaurant, restaurant, food, point_of_interest, establishment"
Footprint Cafes,Srithanu,Cafe,6784e2119557868af88b3205,ChIJIU9LyMj9VDAReBVKp-HW_SE,Cafe,CLOSED_PERMANENTLY,,,"cafe, coffee_shop, coworking_space, thai_restaurant, breakfast_restaurant, parking, event_venue, sports_activity_location, transportation_service, book_store, food_store, store, restaurant, food, point_of_interest, establishment"
Fora - 133 Whitechapel High Street,Whitechapel,Coworking Space,67d005782b0f8cde8c058153,ChIJkYaZKksDdkgR63q4ENoxEK8,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - 180 Borough High Street,London Bridge,Coworking Space,67d0057aaf08fe56f2775bd0,ChIJm_9vhlgDdkgR7PXgQdGoKQA,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - 19 Eastbourne Terrace,Paddington,Coworking Space,67d005755d875e92236fb5e6,ChIJK2BsAK0adkgRzrQ-En3khuU,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, service, point_of_interest, establishment"
Fora - 2 Stephen Street,Fitzrovia,Coworking Space,67d0057dea314b1109ec32b6,ChIJyQJWUiwbdkgR5R38h0Aa_2I,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - 20 Eastbourne Terrace,Paddington,Coworking Space,67d00575dd12d83f886e1de0,ChIJhSX-HK0adkgR8J4qMB99xKo,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, service, point_of_interest, establishment"
Fora - 201 Borough High Street,London Bridge,Coworking Space,67d0057be660a8c7f2a6d5be,ChIJb6rOnFgDdkgRGyW7fINX0Fc,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - 210 Euston Road,King's Cross,Coworking Space,67d0057b2ab4ba62f9fb68a0,ChIJg-hukvUbdkgRcS1a1Hl3_Yk,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - 22 Berners Street,Fitzrovia,Coworking Space,67d0057eac035010a7c1bcfc,ChIJi-OU9lkbdkgRRsUDw2P9t3Q,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, service, point_of_interest, establishment"
Fora - 22 Manchester Square,Marylebone,Coworking Space,67d00577320a6853fc55bceb,ChIJF2SZhtIadkgR7_BogH_T5Aw,Real estate agency,CLOSED_PERMANENTLY,,,"business_center, real_estate_agency, service, point_of_interest, establishment"
Fora - 24 Greville Street,Farringdon,Coworking Space,67d0057c2055896bf9a6f425,ChIJmUBU900bdkgRQImVoSpYL7o,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, point_of_interest, service, establishment"
Fora - 24/25 The Shard,London Bridge,Coworking Space,67d0057a5133d82f182d5106,ChIJHzDiLjYDdkgRv3cLDH4uzpo,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - 241 Southwark Bridge Road,London Bridge,Coworking Space,67d0057aaf08fe56f2775b83,ChIJJ0ySZxAFdkgRAfV4uPeHeEg,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - 42 Berners Street,Fitzrovia,Coworking Space,67d0057de660a8c7f2a6d713,ChIJT-46If4bdkgR9PHJBEtlAJc,Real estate agency,OPERATIONAL,,,"business_center, event_venue, real_estate_agency, point_of_interest, service, establishment"
Fora - 50 Liverpool Street,Liverpool Street,Coworking Space,67d005785274b807cfa79c5b,ChIJK66jhbIcdkgRKTSJGBXrwEQ,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, point_of_interest, service, establishment"
Fora - 7 Stratford Place,Mayfair,Coworking Space,67d00577625cd4a1e0118418,ChIJHa4KLdMadkgRd2tdIVxt1oM,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, service, point_of_interest, establishment"
Fora - 81 Rivington Street,Shoreditch,Coworking Space,67d0057acff59196e045ad23,ChIJFduUY7ocdkgRxnTfSFvcbeQ,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - 91 Wimpole Street,Marylebone,Coworking Space,67d005776814cd699c94f843,ChIJP1xcZ9MadkgRYs30L-QPS4c,Real estate agency,OPERATIONAL,,,"coworking_space, event_venue, real_estate_agency, point_of_interest, service, establishment"
Fora - Albert House,Shoreditch,Coworking Space,67d0057a6c16189eb742ced3,ChIJi45pgqUcdkgRXectoez_4uM,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - Belle House,Victoria,Coworking Space,67d005773ea7a2ae91220355,ChIJw-hSpCAFdkgRw5tCPFasLQI,Coworking space,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - Blue Fin Building,Southwark,Coworking Space,67d00579ac718f9bd066dfd6,ChIJmZkMUOMFdkgRLo3uZiYgei0,Real estate agency,OPERATIONAL,,,"business_center, event_venue, real_estate_agency, point_of_interest, service, establishment"
Fora - Borough Yards,London Bridge,Coworking Space,67d0057a6beee86747bfe48e,ChIJB3ilSogDdkgRRp9JnqimTjo,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - Broadwick Street,Soho,Coworking Space,67d00577bfd365a3239fc0df,ChIJqXgiVGEFdkgRVIw_-3bMEgE,Real estate agency,OPERATIONAL,,,"coworking_space, event_venue, real_estate_agency, point_of_interest, service, establishment"
Fora - Brock House,Fitzrovia,Coworking Space,67d00577ac035010a7c1b3db,ChIJ9_XxUOgbdkgRBOE2Ej3xKUk,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, point_of_interest, service, establishment"
Fora - Central Street,Shoreditch,Coworking Space,67d0057a9f2fb4bd245acdb8,ChIJVYQVNVgbdkgRn-lpQGr3fMI,Real estate agency,OPERATIONAL,,,"coworking_space, event_venue, real_estate_agency, point_of_interest, service, establishment"
Fora - Chancery House,Holborn,Coworking Space,67d0057cbb649ef4ec0d8f77,ChIJ-3e_dUsbdkgRI22vVq3wxJc,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - Dallington Street,Clerkenwell,Coworking Space,67d0057cd16ee9ad182c5b59,ChIJAeWPvlAbdkgRWPKl_S4AN08,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - East Side,King's Cross,Coworking Space,67d0057b83958e65aba335d9,ChIJpV8MrT4bdkgRNxob9Q4HSE4,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - Eastcastle Street,Fitzrovia,Coworking Space,67d0057dd8d3c051a7d90038,ChIJ21BKcUYbdkgRnTh2X8qJCkw,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - Folgate Street,Shoreditch,Coworking Space,67d00579ea314b1109ec2f89,ChIJ9zk96vEddkgRM90muIOwId8,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - Great Eastern Street,Shoreditch,Coworking Space,67d0057934ee586e1611fbda,ChIJx-IsBjwddkgR50qyIwiHqWg,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, service, point_of_interest, establishment"
Fora - Green Park House,Mayfair,Coworking Space,67d005763858f26043897c61,ChIJUwZuDykFdkgRuWUr8yiHj68,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, service, point_of_interest, establishment"
Fora - Greencoat Place,Victoria,Coworking Space,67d0057760a5af99b0ac355d,ChIJfWvr2RgFdkgRQK_KREEA-Uw,Real estate agency,OPERATIONAL,,,"business_center, event_venue, real_estate_agency, point_of_interest, service, establishment"
Fora - Gridiron Building,King's Cross,Coworking Space,67d0057d38dcaa6d89228c59,ChIJCXjAaDwbdkgRwoHN-wcAgR8,Real estate agency,OPERATIONAL,,,"coworking_space, event_venue, real_estate_agency, point_of_interest, service, establishment"
Fora - Henry Wood House,Oxford Circus,Coworking Space,67d0057718cb4d95ba671984,ChIJzbImj9UadkgRCQ2O21dZO2U,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - Kirby Street,Farringdon,Coworking Space,67d0057c3ea7a2ae912205b8,ChIJ79sNxU0bdkgRj6z1z4OtWs4,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - Liberty House,Oxford Circus,Coworking Space,67d00576bb649ef4ec0d8b9f,ChIJl0Qxer8FdkgRZVPCjXIrK90,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - Lloyd's Avenue,Aldgate,Coworking Space,67d00578ea314b1109ec2e86,ChIJdZXNXUwDdkgRikFSisv5B-w,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, service, point_of_interest, establishment"
Fora - Melcombe Place,Fitzrovia,Coworking Space,67d0057e98c46311e16e3999,ChIJVfc0tLEcdkgRnBGE99SxED0,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, point_of_interest, service, establishment"
Fora - Montacute Yards,Shoreditch,Coworking Space,67cd80ca03e3822d9416ad7c,ChIJEyWZ0uMddkgRIuAl7FU8zrU,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - One Canada Square,Canary Wharf,Coworking Space,67d00578af08fe56f27759dc,ChIJI_6NC84DdkgRCOTs93Zbzqc,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, service, point_of_interest, establishment"
Fora - One Lyric Square,Hammersmith,Coworking Space,67d005759500730b3cb0889f,ChIJe-BR94gPdkgRhkOy37qKhn0,Real estate agency,OPERATIONAL,,,"coworking_space, event_venue, real_estate_agency, point_of_interest, service, establishment"
Fora - Orion House,Covent Garden,Coworking Space,67d005763eee1139354d2c1f,ChIJy4Ov80YFdkgR2AkupoxG4jk,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, service, point_of_interest, establishment"
Fora - Parcels Building,Marylebone,Coworking Space,67d0057533fd20e9d39592cd,ChIJLwdvC2EFdkgR3Oav5D52uxo,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - Princelet Street,Shoreditch,Coworking Space,67d0057952d93d6f9475e5a8,ChIJs7mx93UddkgR328Zy3y82Vg,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, event_venue, point_of_interest, service, establishment"
Fora - Scott House,Waterloo,Coworking Space,67d0057890b91d35c3e440fb,ChIJm1GIg9cFdkgRiYoNMTo6bws,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - Sixty London Wall,City of London,Coworking Space,67d005786f0aeaf5c6d84c45,ChIJL04JWGQddkgRbj_idUEnq-Q,Real estate agency,OPERATIONAL,,,"business_center, real_estate_agency, service, point_of_interest, establishment"
Fora - Summit House,Holborn,Coworking Space,67d0057bbcfbe0e5e5a87a80,ChIJ29PEdHwbdkgRNbz7xhKlkpY,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - The Black & White Building,Shoreditch,Coworking Space,67d005796beee86747bfe3fd,ChIJmzfhYrocdkgRAlvusWSYG1I,Real estate agency,OPERATIONAL,,,"coworking_space, event_venue, real_estate_agency, point_of_interest, service, establishment"
Fora - The Bloomsbury Building,Bloomsbury,Coworking Space,67d0057b5274b807cfa79ea3,ChIJhcKFmDMbdkgRxpFuVEF8Wl4,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, service, point_of_interest, establishment"
Fora - The Smiths Building,Fitzrovia,Coworking Space,67d0057ccff59196e045afd8,ChIJ2bPtWNYadkgRtuA4fgpNfm4,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - The Stanley Building,King's Cross,Coworking Space,67d0057d38dcaa6d89228baf,ChIJU2wTRTwbdkgRyz0ae-CJmXY,Real estate agency,OPERATIONAL,,,"coworking_space, event_venue, real_estate_agency, point_of_interest, service, establishment"
Fora - Thomas House,Victoria,Coworking Space,67d00577e4386956d523324e,ChIJ2bwYnR8FdkgRbx6RGg_mSsI,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, event_venue, point_of_interest, service, establishment"
Fora - Tintagel House,Vauxhall,Coworking Space,67d00579252888f6403d6762,ChIJw07S_OsEdkgRHtZC52Az9g4,Real estate agency,OPERATIONAL,,,"coworking_space, event_venue, real_estate_agency, point_of_interest, service, establishment"
Fora - United House,Notting Hill,Coworking Space,67d0057513ffffc58044295d,ChIJt8RlfPsPdkgRlgJwW95P1Es,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - Wardour Street,Soho,Coworking Space,67d00575cf0a639d0da6c2b4,ChIJV55_V9MEdkgR74zW8fmfj5Q,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, event_venue, service, point_of_interest, establishment"
Fora - Warnford Court,City of London,Coworking Space,67d005789bca6142614da01d,ChIJtyd6t6wcdkgRlE8PuRryqrw,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Fora - White Collar Factory,Shoreditch,Coworking Space,67d005797ff194b7a30e5712,ChIJ_TKRF1cbdkgRvrrjhSAg4Jk,Real estate agency,OPERATIONAL,,,"coworking_space, event_venue, real_estate_agency, point_of_interest, service, establishment"
Fora - York House,King's Cross,Coworking Space,67d0057bd88dfcaae86926c7,ChIJTzUzf0MbdkgRwmp0dWudDtI,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Forum Coworking Space,Sukhumvit (Asoke),Coworking Space,674b37a21d78a6be7f43cfbd,ChIJd307M7yf4jARtDWDG8tSIiI,Coworking space,OPERATIONAL,,,"coworking_space, business_center, western_restaurant, cafe, event_venue, restaurant, food, point_of_interest, service, establishment"
Fotografiska cafe,Telliskivi,Cafe,66f857f0b5cc23c2b708e745,ChIJhQUC_V-TkkYRm3suwD4Q_Ak,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Foundation Coffee House Whitworth Street,Gay Village,Cafe,66eee81357b17c5f9dec1336,ChIJO5pf0Kixe0gRk5CtQna37HE,Coffee Shop,CLOSED_PERMANENTLY,,,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment"
Foundry,Downtown Dubai,Coworking Space,67dbb8246de5ed125908b03c,ChIJXQ5UUDJpXz4RVWnUHR6Fl4M,Art gallery,OPERATIONAL,,,"art_gallery, point_of_interest, establishment"
Foxford,Old Town,Cafe,66838ea3da87dd848e300bbe,ChIJl4VNIF1PWUgREccLP89Ru_Y,Home Goods Store,OPERATIONAL,,,"home_goods_store, tourist_attraction, clothing_store, store, restaurant, food, point_of_interest, service, establishment"
Foxxy's Restaurant & Café,Srithanu,Cafe,6784e2135a861705e4830bfe,ChIJbf6SpFP_VDARWlSZaEvmQQ4,Restaurant,OPERATIONAL,,,"restaurant, juice_shop, diner, brunch_restaurant, coffee_shop, cocktail_bar, breakfast_restaurant, cafe, bar, food_store, store, food, point_of_interest, establishment"
Fren'cha Bakery Bingin,Bali,Untagged,65fa86d0e0379bf78d52479f,ChIJvwnhpxlF0i0RjV0mlvL_2Ho,Bakery,CLOSED_PERMANENTLY,,,"bakery, food_store, store, food, point_of_interest, establishment"
Fren'cha Bakery Ungasan,Uluwatu (Ungasan),Untagged,65fa86d0e0379bf78d52479e,ChIJe-Aa7QZb0i0RF0nR6b3Bk-s,Bakery,CLOSED_PERMANENTLY,,,"bakery, food_store, store, restaurant, food, point_of_interest, establishment"
Freyja - the croissant story,Josefstadt,Cafe,67dbb82fddbd6ff42ecee59a,ChIJ00XYdRAHbUcRYtjm2lnSuPA,Coffee shop,CLOSED_PERMANENTLY,,,"brunch_restaurant, pastry_shop, coffee_shop, cafe, bakery, dessert_shop, confectionery, food_store, store, restaurant, food, point_of_interest, establishment"
Friend Coffee & Bar,Old City,Cafe,67dbb8216a5db9ee9dddbb28,ChIJjzn7HOM72jARN3iXIpDqWJU,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment"
Friends Avenue Cafe JLT,JLT,Cafe,67dbb82407076504f2484ce6,ChIJ0TnlwqdsXz4RyynhUfpcOw8,Restaurant,OPERATIONAL,,,"restaurant, breakfast_restaurant, brunch_restaurant, cafe, bakery, food_store, store, food, point_of_interest, establishment"
Front Cafe,Kedungu,Cafe,6631c9dbe6fb8f41e96a69e4,ChIJx_XKYjo30i0R1hW_8vDSLFE,Restaurant,OPERATIONAL,,,"restaurant, food, point_of_interest, establishment"
Fruit Tree Lodge & Coffee Shop,Long Beach,Cafe,67d509db863c60f4235b5703,ChIJfz8Au5gETjARn9QycQgnZ8Q,Coffee shop,OPERATIONAL,YES,lodging,"coffee_shop, cafe, yoga_studio, fitness_center, gym, sports_complex, sports_school, lodging, food_store, food, store, sports_activity_location, point_of_interest, health, establishment"
Fulham Works by Spacemade,Fulham,Coworking Space,67d52faeff9f765cf4c77038,ChIJm3xfdjwPdkgRt7XHUwSgtnc,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, service, point_of_interest, establishment"
GEEK Hub Nguyen Dinh Chieu,District 1,Coworking Space,67dbb8283caa81895e3f0bf1,ChIJKyzSZTUvdTERFeBxsx6kh5o,Coworking space,OPERATIONAL,,,"coworking_space, real_estate_agency, service, point_of_interest, establishment"
GOLO Coffee & AP,Da Nang,Cafe,665eca880b357e0950b1bef7,ChIJDeHFZLwXQjERdyPrATYmv4A,Coffee Shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment"
GRAPH ground,Nimman,Cafe,67dbb81f06a7e0d321e78627,ChIJy6xB1GU72jARbQ7McbVFPOY,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment"
Gallery Drip Coffee,Siam,Cafe,674b37a0db75f1b2a41599af,ChIJ6e7hT82e4jAR4HgD4RW37Tk,Cafe,OPERATIONAL,,,"cafe, coffee_shop, dessert_restaurant, bakery, restaurant, food_store, store, point_of_interest, food, establishment"
Gangga Coffee Roastery Ubud,Ubud,Cafe,65fa86d0e0379bf78d5247b9,ChIJE74dNl090i0Rd_xpkoRhrsQ,Coffee Shop,OPERATIONAL,,,"coffee_shop, food_store, cafe, restaurant, food, point_of_interest, store, establishment"
Gatehouse by Spacemade,Wandsworth,Coworking Space,67d52faeff9f765cf4c77034,ChIJ6YEQRsQPdkgRei4TWfyeQHE,Real estate agency,OPERATIONAL,,,"coworking_space, real_estate_agency, point_of_interest, service, establishment"
Gecko Kuta Lombok,Kuta,Cafe,661735ca83429e4222ae827b,ChIJnUgQQP2pzS0R6o0Dj7G8-4Y,ATM,OPERATIONAL,,,"atm, finance, point_of_interest, establishment"
Genius Cafe Sanur,Sanur,Cafe,6613fb7fdf1c6ff3e73f0b86,ChIJr8xsnJZB0i0Rxh1Lw0w3rjI,Cafe,OPERATIONAL,,,"cafe, vegetarian_restaurant, restaurant, food, point_of_interest, establishment"
Gerupuk Cafe FIN,Gerupuk,Cafe,661b191f0e5f306f0b0f1eb4,ChIJW_05R4QBzS0RfalvYpuyIWs,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
GiG - Green is Good,Central,Cafe,682f68cdf24f3f6a1d3a950d,ChIJscKdGQwnHw0RcpiL0XLQ7Oo,Restaurant,OPERATIONAL,,,"breakfast_restaurant, restaurant, food, point_of_interest, establishment"
Gili Coffee Roasters,Gili Air,Cafe,6613fb81df1c6ff3e73f0c3b,ChIJXwL9D5_dzS0RPiUXUuPhFMI,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Gilis Rock Creative Studios,Gili Trawangan,Coworking Space,6613fb804ce2334be5517dd0,ChIJQ3bN09_nzS0R6wFMnGVPHQg,Coworking Space,OPERATIONAL,,,"coworking_space, point_of_interest, establishment"
Gladwell's Deli & Grocery,Southwark,Cafe,6809d008ea423d76c26e8cdb,ChIJ21Lg_LcDdkgRKfqkLsVpegA,Grocery store,OPERATIONAL,,,"coffee_shop, cafe, deli, grocery_store, food_store, store, food, point_of_interest, establishment"
Glaswerk Oldenburg,Osternburg,Coworking Space,6749620d2dfe65c9a02077a8,ChIJdRKGU5jftkcRlcUQWWbHtbc,Coworking space,CLOSED_PERMANENTLY,,,"coworking_space, cafe, real_estate_agency, event_venue, point_of_interest, service, food, establishment"
Glowfish,Sathon,Coworking Space,674b37a38dfb7342938a26ac,ChIJ90ybWC2f4jARiiXzLIaesNw,Real estate agency,OPERATIONAL,,,"real_estate_agency, service, point_of_interest, establishment"
GoHub | Coworking | Boa Vista,Sal Rei,Coworking Space,676736cf08df50d034dac5b7,ChIJVaiVGdsjSwkRr7GZ09s3_zA,Coworking space,CLOSED_PERMANENTLY,,,"coworking_space, point_of_interest, establishment"
GoWork Park23,Kuta (Bali),Coworking Space,665ed1a567f91d7e7438583b,ChIJkSr5McdF0i0R6VWh42brx1E,Coworking Space,OPERATIONAL,,,"coworking_space, point_of_interest, establishment"
Goldener Papagei,Leopoldstadt,Cafe,67dbb82fc24274cca94b372c,ChIJnU4p8f4HbUcRZZbKYUtCn2I,Cafe,OPERATIONAL,,,"cafe, fusion_restaurant, brunch_restaurant, breakfast_restaurant, coffee_shop, food_store, restaurant, food, store, point_of_interest, establishment"
Good Measure,Carlton,Cafe,67dbb82bb2bb3bdb73a4859d,ChIJBwYNYs5D1moR8N657h-bHVQ,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, bar, food_store, store, food, point_of_interest, establishment"
Good Stuff Cafe & Eco Store Amed,Amed,Cafe,674339c68e26c188137a260f,ChIJMcR0qjEB0i0RjpIiBkCDSP8,Restaurant,OPERATIONAL,,,"restaurant, cafe, store, food, point_of_interest, establishment"
Good Times Coffee Roasters,Old Town,Cafe,67dbb81c07076504f2483da9,ChIJXwCS1QGJbEcRnEu1tMhnCdA,Cafe,CLOSED_PERMANENTLY,,,"cafe, coffee_shop, point_of_interest, food_store, store, food, establishment"
Goodies,General Luna,Cafe,6722fe1495b89fcd4c2b39cd,ChIJNfMXfQMJBDMRG67jZ51_XIc,Restaurant,OPERATIONAL,,,"restaurant, cafe, health_food_store, grocery_store, bar, food_store, food, store, point_of_interest, health, establishment"
Green Waves Cafe,General Luna,Cafe,67246a3a857eb78fd4d7b309,ChIJxyo2vMn5AzMR6U2yYqxdKMo,Coffee Shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, store, restaurant, food, point_of_interest, establishment"
Grey Kaffee,Hernals,Cafe,67dbb82fa763429798b841a5,ChIJzVbAbBEHbUcRNGiLCeXCxXg,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Grind - Shoreditch,Shoreditch,Cafe,6809d007aaa66b13a54e9e30,ChIJLWv3G6YcdkgRm3YOJwo4rXc,Cafe,OPERATIONAL,,,"cafe, cocktail_bar, brunch_restaurant, bar, restaurant, food, point_of_interest, establishment"
Gron,Canggu,Cafe,65fa86d0e0379bf78d52457b,ChIJVZ4Iw4g50i0RablE_hmVrgE,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Grounded London,Whitechapel,Cafe,6809d00bc24ac45af7799899,ChIJzcgxvsocdkgRQcs3eKI7-vM,Brunch restaurant,OPERATIONAL,,,"brunch_restaurant, halal_restaurant, breakfast_restaurant, hamburger_restaurant, cafe, american_restaurant, meal_takeaway, food_store, store, restaurant, food, point_of_interest, establishment"
HANAKA COFFEE,Denpasar,Cafe,67a956428f227e475aaee65c,ChIJn8mOsj5B0i0R1gQnYTT20Xs,Coffee shop,CLOSED_PERMANENTLY,,,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment"
HANAKA COFFEE CANGGU,Canggu,Cafe,67a95643ae3b2b07a92746cb,ChIJJ9tyJ3A50i0R1711OjMNxH4,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, store, point_of_interest, food, establishment"
HOME Cafe,Ubud,Cafe,6809d00ce45574f02ae1603b,ChIJEZC9iU4j0i0RPx4n_MMYxko,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Habitat Village Uluwatu,Uluwatu (Bingin),Cafe,65fa86d0e0379bf78d5246a0,ChIJFatDIQBF0i0Rdvjh8TalRio,Supermarket,OPERATIONAL,,,"supermarket, grocery_store, food_store, food, store, point_of_interest, establishment"
Halokedungu,Kedungu,Cafe,66329147330996152baca6e7,ChIJicmJ1oI30i0Rz4BFLLInjgs,Restaurant,OPERATIONAL,,,"restaurant, food, point_of_interest, establishment"
Heartwork the Sharing Space,Night Bazaar,Cafe,660a6637166465e32ed8e90b,ChIJzRfxMgow2jARj4bw7etGuSs,Coworking Space,OPERATIONAL,,,"coworking_space, coffee_shop, cafe, food_store, store, food, point_of_interest, establishment"
Heden Rossio,Baixa,Coworking Space,6809cff512a4f2a72acc7fa9,ChIJ86EF0mYzGQ0Rge8U_PmvS3c,Coworking space,OPERATIONAL,,,"coworking_space, point_of_interest, establishment"
Hedonist,Uluwatu (Ungasan),Coworking Space,665ed1a52e16798a3c6abf1f,ChIJO7yDT0Fb0i0RzrfFAX1Vcgk,Restaurant,OPERATIONAL,,,"restaurant, coworking_space, pastry_shop, coffee_stand, coffee_shop, cafe, bakery, dessert_shop, confectionery, bar, food_store, store, food, point_of_interest, establishment"
